symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
CLOUDUSDT,2025-01-12 15:40:00+09:00,0.1698,0.17,0.1698,0.1698,1924.0,12927934.0,0.0001,-0.469,-95.376,-1.309,False
COMBOUSDT,2025-01-12 15:40:00+09:00,0.3907,0.3907,0.3907,0.3907,0.0,821578.7,0.0001,-0.459,-100.0,-0.318,False
COMPUSDT,2025-01-12 15:40:00+09:00,79.22,79.22,79.09,79.14,14.9,76030.31,0.0001,-0.29,-77.765,-0.146,False
COOKIEUSDT,2025-01-12 15:40:00+09:00,0.5101,0.5101,0.5079,0.5088,37903.0,15689508.0,0.0001,1.173,-48.454,-0.416,False
COOKUSDT,2025-01-12 15:40:00+09:00,0.02888,0.02888,0.02888,0.02888,0.0,69319640.0,0.0001,-0.517,-100.0,-0.061,False
COREUSDT,2025-01-12 15:40:00+09:00,1.0138,1.0138,1.0121,1.0122,14527.5,7638349.3,0.0001,-0.296,860.941,-0.008,True
COSUSDT,2025-01-12 15:40:00+09:00,0.007114,0.007114,0.007114,0.007114,0.0,87159960.0,0.0001,-0.42,-100.0,-0.211,False
COTIUSDT,2025-01-12 15:40:00+09:00,0.11078,0.11078,0.11072,0.11077,1516.0,46906459.0,0.0001,-0.458,-59.616,0.077,False
COWUSDT,2025-01-12 15:40:00+09:00,0.7187,0.7187,0.7181,0.7183,663.0,8215092.0,0.0001,0.265,-93.087,0.459,False
CROUSDT,2025-01-12 15:40:00+09:00,0.14046,0.14048,0.14044,0.14048,332.0,64091013.0,0.0001,-0.439,-98.841,-0.18,False
CRVUSDT,2025-01-12 15:40:00+09:00,0.8345,0.8347,0.8338,0.8344,3696.7,64404707.5,0.0001,-0.287,-87.618,-0.288,False
CTCUSDT,2025-01-12 15:40:00+09:00,1.0867,1.0867,1.0859,1.0859,791.0,5740633.0,-0.000418,-0.014,-1.372,-0.165,False
CTKUSDT,2025-01-12 15:40:00+09:00,0.729,0.729,0.7288,0.7288,28.3,2410168.1,-0.001446,-0.41,-47.786,-0.213,False
CTSIUSDT,2025-01-12 15:40:00+09:00,0.14474,0.14474,0.14462,0.14462,1039.0,10749606.0,0.0001,-0.605,-82.582,-0.343,False
CVCUSDT,2025-01-12 15:40:00+09:00,0.17388,0.17388,0.17372,0.17372,4746.0,25275545.0,0.0001,-0.247,-92.91,-0.133,False
CVXUSDT,2025-01-12 15:40:00+09:00,4.202,4.202,4.199,4.2,224.89,1587565.7,-0.00031,-0.78,-84.633,-0.079,False
CYBERUSDT,2025-01-12 15:40:00+09:00,3.043,3.044,3.042,3.044,24.8,1194511.39999999,0.0001,-0.295,-97.843,0.053,False
DASHUSDT,2025-01-12 15:40:00+09:00,37.09,37.1,37.08,37.1,17.76,146109.84,0.0001,-0.242,-87.429,0.725,False
DATAUSDT,2025-01-12 15:40:00+09:00,0.04335,0.04342,0.04335,0.04342,530.0,9534840.0,0.0001,0.023,-97.994,1.607,False
DBRUSDT,2025-01-12 15:40:00+09:00,0.03163,0.03163,0.03163,0.03163,0.0,60721930.0,0.0001,0.0,-100.0,-0.443,False
DEEPUSDT,2025-01-12 15:40:00+09:00,0.14681,0.14681,0.14675,0.14681,420.0,94310440.0,0.0001,0.048,-99.544,0.044,False
DEGENUSDT,2025-01-12 15:40:00+09:00,0.009387,0.009389,0.009383,0.009386,5930.0,752579180.0,0.0001,-0.276,-99.025,-0.367,False
DENTUSDT,2025-01-12 15:40:00+09:00,0.0012825,0.0012825,0.0012825,0.0012825,0.0,965000500.0,0.0001,-0.35,-100.0,-0.428,False
DEXEUSDT,2025-01-12 15:40:00+09:00,15.948,15.978,15.945,15.978,1171.5,222888.3,0.0001,0.213,105.454,-0.357,False
DGBUSDT,2025-01-12 15:40:00+09:00,0.012409,0.012412,0.012409,0.012412,780.0,152804140.0,0.0001,-0.153,-99.356,0.098,False
DODOUSDT,2025-01-12 15:40:00+09:00,0.13847,0.13848,0.13846,0.13846,307.0,11292050.0,0.0001,-0.439,-42.509,-0.042,False
DOGEUSDT,2025-01-12 15:40:00+09:00,0.34029,0.34046,0.34012,0.3404,111335.0,1933873233.0,0.0001,-0.015,-96.914,-0.004,False
DOGSUSDT,2025-01-12 15:40:00+09:00,0.0004573,0.0004574,0.0004569,0.0004574,9647800.0,22535775700.0,0.0001,0.044,-17.518,0.009,False
DOGUSDT,2025-01-12 15:40:00+09:00,0.005661,0.005665,0.005661,0.005665,288200.0,2194962600.0,0.000518,0.035,-92.645,-0.69,False
DOP1USDT,2025-01-12 15:40:00+09:00,0.001238,0.001238,0.001238,0.001238,0.0,962821880.0,0.0001,-0.161,0.0,0.109,False
DOTUSDT,2025-01-12 15:40:00+09:00,6.733,6.734,6.731,6.734,635.4,11927061.3,0.0001,0.059,-93.182,0.08,False
DRIFTUSDT,2025-01-12 15:40:00+09:00,1.173,1.173,1.1722,1.1728,1667.0,13581541.0,5e-05,0.222,-80.918,-0.28,False
DUSKUSDT,2025-01-12 15:40:00+09:00,0.20828,0.20828,0.20813,0.20816,367.0,8228856.0,0.0001,-0.545,-88.942,0.194,False
DYDXUSDT,2025-01-12 15:40:00+09:00,1.318,1.318,1.317,1.317,169.2,24528729.6,0.0001,-0.303,-97.447,0.007,False
DYMUSDT,2025-01-12 15:40:00+09:00,1.218,1.218,1.218,1.218,50.3,4260332.3,0.0001,-0.895,-99.477,0.187,False
