symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
BLUEUSDT,2025-01-10 00:00:00+09:00,0.37727,0.38106,0.37553,0.37962,199291.0,3330784.0,0.0001,4.981,32.948,4.682
BLURUSDT,2025-01-10 00:00:00+09:00,0.23,0.2333,0.2284,0.2327,4894980.0,52341823.0,0.0001,2.556,345.707,-1.117
BNBUSDT,2025-01-10 00:00:00+09:00,686.15,692.25,684.55,692.15,2775.95,159846.4,0.0001,0.963,245.855,-1.6
BNTUSDT,2025-01-10 00:00:00+09:00,0.6314,0.639,0.6292,0.639,13107.0,1195714.0,0.0001,2.126,32.544,-0.444
BNXUSDT,2025-01-10 00:00:00+09:00,0.3657,0.3697,0.3636,0.369,80903.3,7606639.9,0.0001,2.244,145.114,-0.454
BOBAUSDT,2025-01-10 00:00:00+09:00,0.18899,0.19112,0.18843,0.19111,148724.7,4893163.3,0.0001,1.347,439.044,-4.83
BOMEUSDT,2025-01-10 00:00:00+09:00,0.005506,0.005578,0.005471,0.005573,46502900.0,2892227600.0,0.0001,2.671,274.785,-0.984
BRETTUSDT,2025-01-10 00:00:00+09:00,0.11796,0.11973,0.11708,0.11973,4814570.0,262391500.0,0.0001,3.743,175.677,-0.765
BSVUSDT,2025-01-10 00:00:00+09:00,51.53,52.24,51.42,52.23,1130.64,37660.16,0.0001,2.392,120.276,1.759
BSWUSDT,2025-01-10 00:00:00+09:00,0.06645,0.06736,0.06612,0.06736,254573.0,9902949.0,0.0001,2.62,119.356,-0.817
BTCUSDT,2025-01-10 00:00:00+09:00,92815.1,93288.2,92637.2,93275.9,3056.239,66208.158,0.0001,1.46,180.167,0.203
C98USDT,2025-01-10 00:00:00+09:00,0.1518,0.1541,0.1512,0.1539,291468.0,25156257.4,0.0001,3.15,172.315,-0.564
CAKEUSDT,2025-01-10 00:00:00+09:00,2.284,2.307,2.272,2.306,26950.0,3997047.5,0.0001,1.9,163.222,-0.094
CARVUSDT,2025-01-10 00:00:00+09:00,0.8484,0.8543,0.8383,0.8491,234645.0,11175381.0,-0.002424,1.325,-22.901,3.657
CATIUSDT,2025-01-10 00:00:00+09:00,0.2999,0.3046,0.2981,0.3045,483892.0,16394447.0,0.0001,2.941,189.555,-0.377
CELOUSDT,2025-01-10 00:00:00+09:00,0.6369,0.6452,0.6346,0.6445,77317.0,6896607.0,0.0001,2.237,43.839,1.061
CELRUSDT,2025-01-10 00:00:00+09:00,0.01638,0.01666,0.01635,0.01664,3767086.0,148296784.0,0.0001,2.653,259.512,0.756
CETUSUSDT,2025-01-10 00:00:00+09:00,0.31233,0.31509,0.31089,0.31486,244917.0,12098725.0,0.0001,1.87,122.885,-1.316
CFXUSDT,2025-01-10 00:00:00+09:00,0.14654,0.14844,0.14567,0.14825,442185.0,40510350.0,0.0001,2.094,176.812,1.023
CHESSUSDT,2025-01-10 00:00:00+09:00,0.1773,0.1796,0.1766,0.1796,101796.0,4936172.0,0.0001,2.746,64.875,3.553
CHILLGUYUSDT,2025-01-10 00:00:00+09:00,0.1295,0.1315,0.1286,0.1312,6060788.0,108361830.0,0.0001,4.127,169.808,-1.789
CHRUSDT,2025-01-10 00:00:00+09:00,0.2092,0.2126,0.2084,0.2123,143555.1,10472671.1,0.0001,2.66,49.405,-0.397
CHZUSDT,2025-01-10 00:00:00+09:00,0.0816,0.08272,0.08111,0.08264,2546326.0,94872053.0,-8.8e-05,1.636,29.667,-0.785
CKBUSDT,2025-01-10 00:00:00+09:00,0.010859,0.011044,0.010818,0.011032,9631980.0,282462970.0,0.0001,2.767,62.822,1.008
CLOUDUSDT,2025-01-10 00:00:00+09:00,0.1774,0.1785,0.1765,0.1784,185224.0,10586581.0,0.0001,0.848,-59.234,-2.692
COMBOUSDT,2025-01-10 00:00:00+09:00,0.3895,0.3941,0.3876,0.3941,9963.1,871632.4,0.0001,2.497,92.887,0.965
COMPUSDT,2025-01-10 00:00:00+09:00,70.09,71.2,69.79,71.17,1690.73,69613.42999999,0.0001,2.536,298.824,1.607
COOKIEUSDT,2025-01-10 00:00:00+09:00,0.469,0.4854,0.4634,0.4804,979623.0,9226672.0,0.0001,3.445,23.979,-1.707
COOKUSDT,2025-01-10 00:00:00+09:00,0.03038,0.0306,0.03003,0.03058,901670.0,71986910.0,0.0001,4.726,320.275,6.161
COREUSDT,2025-01-10 00:00:00+09:00,0.9986,1.014,0.9967,1.014,96298.6,7192041.9,0.0001,2.528,524.747,0.03
COSUSDT,2025-01-10 00:00:00+09:00,0.006926,0.007006,0.006883,0.007003,978550.0,92988220.0,0.0001,2.323,118.017,-3.598
COTIUSDT,2025-01-10 00:00:00+09:00,0.10707,0.10873,0.10637,0.10844,556808.0,46150572.0,0.0001,2.962,552.817,-0.294
