symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
COREUSDT,2025-01-04 17:30:00+09:00,1.1834,1.1864,1.1794,1.1797,40169.8,6531499.3,0.0001,-1.247,62.995,-0.691
COSUSDT,2025-01-04 17:30:00+09:00,0.008133,0.00816,0.008113,0.008114,1920330.0,116219040.0,0.0001,-1.326,190.449,-2.311
COTIUSDT,2025-01-04 17:30:00+09:00,0.13573,0.13609,0.13539,0.13544,101214.0,49131884.0,0.0001,-1.563,12.234,0.449
COWUSDT,2025-01-04 17:30:00+09:00,0.9165,0.9194,0.9094,0.9108,241337.0,5203980.0,0.0001,-1.801,-13.54,-0.656
CROUSDT,2025-01-04 17:30:00+09:00,0.16322,0.16378,0.1627,0.16278,282728.0,63493120.0,0.0001,-0.683,-46.686,-0.175
CRVUSDT,2025-01-04 17:30:00+09:00,1.0542,1.0581,1.0508,1.052,281336.1,65313722.8,0.0001,-0.83,81.001,0.243
CTCUSDT,2025-01-04 17:30:00+09:00,1.171,1.1733,1.17035,1.17065,30962.0,6646873.0,0.000314,-0.809,9.584,-1.797
CTKUSDT,2025-01-04 17:30:00+09:00,0.8335,0.8371,0.8331,0.8342,40760.7,2388884.29999999,5e-05,-1.266,491.667,0.35
CTSIUSDT,2025-01-04 17:30:00+09:00,0.17253,0.17266,0.1719,0.17196,15521.0,11179695.0,0.0001,-1.833,29.397,-0.113
CVCUSDT,2025-01-04 17:30:00+09:00,0.18407,0.1846,0.18407,0.18414,171750.0,29824014.0,0.0001,-0.47,-27.159,-0.245
CVXUSDT,2025-01-04 17:30:00+09:00,5.477,5.49,5.458,5.458,21863.82,1805999.43,0.000507,-0.691,277.309,-0.208
CYBERUSDT,2025-01-04 17:30:00+09:00,3.587,3.593,3.569,3.57,3395.8,1093048.39999999,0.0001,-1.626,-12.807,-0.645
DARUSDT,2025-01-04 17:30:00+09:00,0.1864,0.187,0.1844,0.1858,432635.7,7836136.5,0.0001,-0.907,-1.653,3.653
