symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
GTCUSDT,2025-01-19 23:30:00,0.6378,0.6384,0.6318,0.6354,24237.3,2299940.29999999,0.0001,1.34,-15.91,0.619,False,False
GUSDT,2025-01-19 23:30:00,0.02844,0.02844,0.0282,0.02837,704490.0,37191720.0,0.000159,1.105,-16.876,1.005,False,False
HBARUSDT,2025-01-19 23:30:00,0.34228,0.34273,0.33909,0.34098,2422220.0,273323414.0,0.0001,0.147,-52.529,0.09,True,True
HFTUSDT,2025-01-19 23:30:00,0.1983,0.1983,0.1959,0.1975,67642.0,13671919.0,0.0001,2.918,-59.712,1.093,False,False
HIFIUSDT,2025-01-19 23:30:00,0.5845,0.5845,0.5776,0.5805,42234.0,3171149.0,0.000929,1.486,-22.616,-0.291,False,False
HIGHUSDT,2025-01-19 23:30:00,1.3548,1.3548,1.3385,1.3483,6216.4,1593536.9,0.00021,1.951,-78.331,-0.993,False,False
HIPPOUSDT,2025-01-19 23:30:00,0.00774,0.00774,0.00763,0.0077,4553820.0,1052042550.0,0.00129,0.522,-61.084,-0.684,False,False
HIVEUSDT,2025-01-19 23:30:00,0.4414,0.4415,0.4373,0.4395,161782.0,12546005.0,-0.0066,0.618,-63.431,1.081,False,False
HMSTRUSDT,2025-01-19 23:30:00,0.003036,0.003037,0.003009,0.003019,31568610.0,2418914450.0,0.000204,1.309,-30.733,-1.189,False,False
HNTUSDT,2025-01-19 23:30:00,5.315,5.315,5.248,5.282,5871.25,1128806.35,0.0001,1.518,-62.556,-0.3,False,False
HOOKUSDT,2025-01-19 23:30:00,0.3538,0.3538,0.35,0.3527,57640.0,8445931.8,0.0001,2.678,-16.895,-0.442,False,False
HOTUSDT,2025-01-19 23:30:00,0.00247,0.00247,0.002437,0.002461,5084900.0,900803600.0,0.0001,2.116,-63.184,-1.327,False,False
HPOS10IUSDT,2025-01-19 23:30:00,0.1762,0.1762,0.1734,0.1748,74811.0,13653642.0,0.0001,3.31,103.617,0.022,False,False
HYPEUSDT,2025-01-19 23:30:00,23.002,23.175,22.948,22.996,30400.29,4873440.18,0.0001,0.696,-70.673,-1.398,False,False
ICPUSDT,2025-01-19 23:30:00,10.601,10.604,10.504,10.577,16719.4,3098260.0,0.0001,1.918,-50.02,0.144,False,False
ICXUSDT,2025-01-19 23:30:00,0.1816,0.1817,0.1801,0.1814,67373.0,12204438.0,0.0001,1.682,-56.425,0.428,False,False
